,Dan,Lokacija,Mesec,SifraCesteNaselja,SifraOdsekaUlice,StanjePrometa,StanjeVozisca,UraPN,VNaselju,VremenskeOkoliscine,VrstaCeste,VrstaVozisca
626,,,,3054,1280,,,,,,,
627,,,,3057,1281,,,,,,,
628,,,,3058,1284,,,,,,,
629,,,,3065,1285,,,,,,,
630,,,,3067,1286,,,,,,,
631,,,,3070,1287,,,,,,,
632,,,,3071,1288,,,,,,,
633,,,,3072,1289,,,,,,,
634,,,,3073,1290,,,,,,,
635,,,,3075,1291,,,,,,,
636,,,,3080,1292,,,,,,,
637,,,,3083,1294,,,,,,,
638,,,,3084,1295,,,,,,,
639,,,,3085,1296,,,,,,,
640,,,,3091,1298,,,,,,,
641,,,,3094,1299,,,,,,,
642,,,,3095,1301,,,,,,,
643,,,,3096,1302,,,,,,,
644,,,,3098,1303,,,,,,,
645,,,,3101,1304,,,,,,,
646,,,,3102,1305,,,,,,,
647,,,,3103,1306,,,,,,,
648,,,,3110,1307,,,,,,,
649,,,,3113,1308,,,,,,,
650,,,,3116,1309,,,,,,,
651,,,,3117,1310,,,,,,,
652,,,,3119,1311,,,,,,,
653,,,,3121,1312,,,,,,,
654,,,,3126,1313,,,,,,,
655,,,,4003,1314,,,,,,,
656,,,,4006,1315,,,,,,,
657,,,,4008,1316,,,,,,,
658,,,,4009,1317,,,,,,,
659,,,,4016,1318,,,,,,,
660,,,,4026,1319,,,,,,,
661,,,,4029,1320,,,,,,,
662,,,,4035,1321,,,,,,,
663,,,,4036,1322,,,,,,,
664,,,,4054,1323,,,,,,,
665,,,,4060,1324,,,,,,,
666,,,,4075,1325,,,,,,,
667,,,,4077,1327,,,,,,,
668,,,,4081,1328,,,,,,,
669,,,,4089,1329,,,,,,,
670,,,,5022,1330,,,,,,,
671,,,,5031,1331,,,,,,,
672,,,,5067,1332,,,,,,,
673,,,,5083,1333,,,,,,,
674,,,,5122,1334,,,,,,,
675,,,,5139,1337,,,,,,,
676,,,,5143,1340,,,,,,,
677,,,,5145,1341,,,,,,,
678,,,,5160,1345,,,,,,,
679,,,,6002,1346,,,,,,,
680,,,,6009,1347,,,,,,,
681,,,,6010,1348,,,,,,,
682,,,,6013,1349,,,,,,,
683,,,,6014,1350,,,,,,,
684,,,,6018,1351,,,,,,,
685,,,,6021,1352,,,,,,,
686,,,,6022,1353,,,,,,,
687,,,,6027,1354,,,,,,,
688,,,,6029,1355,,,,,,,
689,,,,6030,1356,,,,,,,
690,,,,6032,1357,,,,,,,
691,,,,6047,1358,,,,,,,
692,,,,6049,1359,,,,,,,
693,,,,6053,1360,,,,,,,
694,,,,6054,1362,,,,,,,
695,,,,6056,1363,,,,,,,
696,,,,6057,1364,,,,,,,
697,,,,6071,1366,,,,,,,
698,,,,6075,1367,,,,,,,
699,,,,6077,1368,,,,,,,
700,,,,6088,1369,,,,,,,
701,,,,6093,1370,,,,,,,
702,,,,6103,1371,,,,,,,
703,,,,6104,1372,,,,,,,
704,,,,6112,1373,,,,,,,
705,,,,6121,1374,,,,,,,
